time,gender,sexuallity,age,income,race,bodyweight,virgin,prostitution_legal,pay_for_sex,friends,social_fear,depressed,what_help_from_others,employment,job_title,edu_level,improve_yourself_how,attempt_suicide
5/24/2016 23:03:18,Male,Straight,26,$0 ,Hispanic (of any race),Normal weight,Yes,Yes,Yes but I haven't,0,Yes,Yes,I don't want help,Out of work but not currently looking for work,none,"Some high school, no diploma",None,No
5/25/2016 10:33:04,Female,Straight,20,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,2,Yes,Yes,I don't want help,Employed for wages,Cleaner,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups",No
5/25/2016 12:50:09,Female,Straight,23,$0 ,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,No,Set me up with a date,A student,I don't have a job,Bachelors degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups",No
5/26/2016 13:19:42,Male,Bisexual,26,"$10,000 to $19,999",Hispanic (of any race),Normal weight,No,No,No,15,Yes,No,I don't want help,Self-employed,Marketing,"High school graduate, diploma or the equivalent (for example: GED)",Other exercise,Yes
5/26/2016 18:41:04,Male,Straight,16,$0 ,White non-Hispanic,Underweight,Yes,No,No,0,Yes,Yes,Set me up with a date,A student,na,"Some high school, no diploma",None,Yes
5/26/2016 20:36:35,Male,Straight,24,"$30,000 to $39,999",White non-Hispanic,Overweight,No,No,No,6,No,No,I don't want help,Employed for wages,Screener,"Some college, no degree","Other exercise, Joined the US Navy",No
5/27/2016 3:24:20,Male,Straight,22,$0 ,Hispanic (of any race),Overweight,Yes,No,No,0,Yes,Yes,date coaching,A student,Student,"Some college, no degree",Therapy,Yes
5/27/2016 10:36:04,Female,Bisexual,20,"$1 to $10,000",Black,Normal weight,Yes,Yes,No,3,Yes,Yes,date coaching,A student,       ,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups",Yes
5/28/2016 11:36:27,Male,Straight,25,"$10,000 to $19,999",White non-Hispanic,Normal weight,No,No,No,0,No,No,Set me up with a date,Employed for wages,"Program Manager, Non-profit",Associate degree,"Other exercise, join clubs/socual clubs/meet ups",No
5/28/2016 13:57:49,Male,Straight,23,$0 ,White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,0,Yes,Yes,I don't want help,Out of work but not currently looking for work,NEET parasite,"Some college, no degree","Joined a gym/go to the gym, Therapy",No
5/28/2016 14:01:59,Male,Straight,25,$0 ,White non-Hispanic,Overweight,Yes,No,No,3,No,Yes,"wingman/wingwoman, date coaching",A student,T,Professional degree,Other exercise,No
5/28/2016 14:03:43,Male,Straight,27,"$1 to $10,000",White non-Hispanic,Overweight,Yes,Yes,No,5,No,Yes,wingman/wingwoman,A student,Designer,"Some high school, no diploma","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups",Yes
5/28/2016 16:46:11,Male,Straight,23,"$30,000 to $39,999",White non-Hispanic,Normal weight,No,No,No,10,No,No,wingman/wingwoman,Employed for wages,Account Manager,Bachelors degree,"Joined a gym/go to the gym, join clubs/socual clubs/meet ups",No
5/28/2016 17:04:03,Female,Straight,25,$0 ,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,No,I don't want help,A student,student teacher,Bachelors degree,Other exercise,No
5/28/2016 20:36:53,Male,Straight,22,"$1 to $10,000",Black,Normal weight,Yes,No,No,15,No,No,Set me up with a date,A student,Guest Advisor,"Some college, no degree",None,No
5/28/2016 20:56:31,Male,Straight,23,$0 ,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,No,I don't want help,A student,...,"Some college, no degree","Therapy, Other exercise",No
5/28/2016 21:42:27,Female,Straight,21,"$10,000 to $19,999",Black,Overweight,No,No,No,0,Yes,No,I don't want help,Employed for wages,customer service,"Some college, no degree",None,No
5/28/2016 21:57:42,Female,Straight,31,"$40,000 to $49,999",White non-Hispanic,Overweight,No,No,No,30,Yes,Yes,I don't want help,Employed for wages,Teacher,Masters degree,Therapy,No
5/28/2016 23:20:15,Male,Straight,18,$0 ,White non-Hispanic,Normal weight,Yes,No,No,2,Yes,Yes,date coaching,A student,None,"Some high school, no diploma",None,No
5/29/2016 0:01:52,Male,Straight,18,"$1 to $10,000",White non-Hispanic,Normal weight,Yes,No,No,30,Yes,No,"Set me up with a date, I don't want help",A student,Warehouse Associate,Bachelors degree,Joined a gym/go to the gym,No
5/29/2016 6:10:45,Male,Straight,24,"$75,000 to $99,999",White non-Hispanic,Normal weight,No,No,No,11,Yes,No,I don't want help,Employed for wages,Terminal worker ,"Some high school, no diploma","Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups",No
5/29/2016 9:54:55,Male,Bisexual,23,"$40,000 to $49,999",White non-Hispanic,Overweight,Yes,Yes,No,10,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Employed for wages,PA,Bachelors degree,"Joined a gym/go to the gym, Other exercise",No
5/29/2016 12:25:01,Male,Straight,28,"$20,000 to $29,999",Black,Normal weight,No,No,No,1,Yes,No,I don't want help,Employed for wages,Case Worker,Bachelors degree,"Joined a gym/go to the gym, Other exercise",No
5/29/2016 12:40:43,Male,Straight,18,"$1 to $10,000",Asian,Overweight,Yes,No,Yes but I haven't,5,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Employed for wages,Home Depot order fulfillment,"High school graduate, diploma or the equivalent (for example: GED)",Started losing weight,Yes
5/29/2016 15:41:59,Male,Straight,18,$0 ,White non-Hispanic,Normal weight,Yes,Yes,Yes but I haven't,6,No,No,I don't want help,A student,erdet,"Some high school, no diploma",Joined a gym/go to the gym,No
5/30/2016 14:48:53,Transgender male,Bisexual,12,$0 ,White non-Hispanic,Obese,No,No,Yes and I have,0.5,Yes,No,"wingman/wingwoman, Set me up with a date, date coaching, I don't want help",A student,Boss,"Some high school, no diploma","Cosmetic surgery, Joined a gym/go to the gym, Therapy, Other exercise, join clubs/socual clubs/meet ups, None",Yes
6/2/2016 5:04:24,Female,Straight,26,"$10,000 to $19,999",White non-Hispanic,Overweight,Yes,No,Yes but I haven't,10,Yes,No,"Set me up with a date, date coaching",Employed for wages,Consultant IT,Masters degree,Joined a gym/go to the gym,No
6/3/2016 19:25:46,Male,Straight,31,"$30,000 to $39,999",White non-Hispanic,Normal weight,No,No,Yes but I haven't,10,No,No,I don't want help,Employed for wages,castor,"High school graduate, diploma or the equivalent (for example: GED)","Other exercise, join clubs/socual clubs/meet ups",No
6/6/2016 1:36:55,Female,Straight,17,"$1 to $10,000",Asian,Normal weight,Yes,No,No,20,Yes,Yes,wingman/wingwoman,Employed for wages,receptionist ,"Some high school, no diploma","Joined a gym/go to the gym, Other exercise, join clubs/socual clubs/meet ups",Yes
8/14/2016 15:10:41,Male,Straight,18,$0 ,Asian,Obese,Yes,No,No,16,Yes,Yes,Set me up with a date,Out of work but not currently looking for work,Student,"High school graduate, diploma or the equivalent (for example: GED)","Joined a gym/go to the gym, Therapy",No
9/4/2016 23:10:04,Male,Straight,28,"$40,000 to $49,999",White non-Hispanic,Normal weight,Yes,No,Yes but I haven't,3,Yes,Yes,"wingman/wingwoman, Set me up with a date, date coaching",Employed for wages,Scientist,Masters degree,Therapy,No
